State,Total,Retirement,Survivors,Disability,Aged 65 or older,Year,Table_type
Arizona,"1,241,101","882,106","77,174","155,862","424,142",2015,Beneficiaries
Arkansas,"679,689","408,790","47,485","140,027","192,880",2015,Beneficiaries
California,"5,651,601","3,927,555","375,012","699,241","1,929,340",2015,Beneficiaries
Colorado,"813,266","570,807","51,954","105,960","279,493",2015,Beneficiaries
Connecticut,"659,238","474,950","39,075","81,784","220,868",2015,Beneficiaries
Delaware,"196,651","139,447","11,831","27,385","64,202",2015,Beneficiaries
District of Columbia,"80,546","53,579","4,493","14,612","24,050",2015,Beneficiaries
Florida,"4,334,337","3,081,274","271,702","565,238","1,465,483",2015,Beneficiaries
Georgia,"1,714,145","1,117,129","115,341","285,889","504,178",2015,Beneficiaries
Hawaii,"256,912","195,436","15,073","22,800","91,041",2015,Beneficiaries
Idaho,"315,571","217,186","19,720","44,090","106,494",2015,Beneficiaries
Illinois,"2,174,883","1,490,706","157,732","288,827","703,389",2015,Beneficiaries
Indiana,"1,301,948","855,326","92,406","208,908","393,339",2015,Beneficiaries
Iowa,"622,906","439,571","44,761","78,222","205,861",2015,Beneficiaries
Kansas,"528,174","361,490","36,170","74,677","169,524",2015,Beneficiaries
Kentucky,"963,497","551,152","78,723","206,175","270,375",2015,Beneficiaries
Louisiana,"868,017","488,273","87,629","157,310","252,439",2015,Beneficiaries
Maine,"329,559","215,126","20,706","58,476","104,616",2015,Beneficiaries
Maryland,"952,251","664,164","60,300","131,074","305,042",2015,Beneficiaries
Massachusetts,"1,236,248","821,212","73,218","205,060","391,389",2015,Beneficiaries
Michigan,"2,141,824","1,393,156","149,534","350,684","650,889",2015,Beneficiaries
Minnesota,"979,776","698,101","60,464","126,390","328,924",2015,Beneficiaries
Mississippi,"647,420","381,880","48,181","131,143","175,784",2015,Beneficiaries
Missouri,"1,258,256","813,569","86,146","220,596","381,288",2015,Beneficiaries
Montana,"217,758","153,554","14,567","27,848","76,304",2015,Beneficiaries
Nebraska,"330,309","231,481","23,170","42,162","109,375",2015,Beneficiaries
Nevada,"492,121","353,170","28,159","65,211","174,821",2015,Beneficiaries
New Hampshire,"288,891","195,087","15,095","48,223","93,016",2015,Beneficiaries
New Jersey,"1,583,456","1,118,670","99,859","202,497","511,371",2015,Beneficiaries
New Mexico,"408,931","266,801","27,465","65,167","131,038",2015,Beneficiaries
New York,"3,513,125","2,388,547","222,704","510,196","1,105,184",2015,Beneficiaries
North Carolina,"1,984,962","1,339,587","120,100","330,353","596,878",2015,Beneficiaries
North Dakota,"125,786","87,569","10,965","13,917","43,596",2015,Beneficiaries
Ohio,"2,290,813","1,476,557","191,239","356,826","719,199",2015,Beneficiaries
Oklahoma,"758,912","484,224","57,711","127,565","230,602",2015,Beneficiaries
Oregon,"818,228","580,498","51,507","109,815","276,410",2015,Beneficiaries
Pennsylvania,"2,744,424","1,847,485","202,520","407,320","858,939",2015,Beneficiaries
Rhode Island,"217,881","147,006","12,101","37,476","66,938",2015,Beneficiaries
South Carolina,"1,066,150","709,839","68,153","178,822","323,996",2015,Beneficiaries
South Dakota,"168,626","120,981","12,154","19,212","59,247",2015,Beneficiaries
Tennessee,"1,392,164","884,653","98,135","251,021","411,521",2015,Beneficiaries
Texas,"3,928,648","2,516,258","317,793","569,586","1,258,027",2015,Beneficiaries
Utah,"375,685","253,880","23,117","47,923","125,025",2015,Beneficiaries
Vermont,"142,755","96,840","8,518","22,565","46,976",2015,Beneficiaries
Virginia,"1,443,127","979,680","96,719","212,711","456,606",2015,Beneficiaries
Washington,"1,260,474","873,750","77,930","179,674","423,255",2015,Beneficiaries
West Virginia,"468,120","265,919","44,224","91,995","136,723",2015,Beneficiaries
Wisconsin,"1,170,705","822,488","73,240","161,864","381,196",2015,Beneficiaries
Wyoming,"103,689","73,301","6,802","13,252","36,201",2015,Beneficiaries
Alabama,"1,306,452","857,241","97,166","268,481","458,654",2015,Benefits
Alaska,"107,985","79,377","6,394","14,507","46,753",2015,Benefits
Arizona,"1,576,939","1,207,692","99,151","188,488","655,055",2015,Benefits
Arkansas,"777,068","521,327","54,025","155,538","279,203",2015,Benefits
California,"6,902,807","5,177,295","467,708","837,359","2,820,970",2015,Benefits
Colorado,"1,012,557","762,685","66,546","125,290","426,999",2015,Benefits
Connecticut,"901,648","701,155","54,924","99,221","370,019",2015,Benefits
Delaware,"263,587","201,060","16,018","33,936","104,770",2015,Benefits
District of Columbia,"92,474","67,386","4,944","15,036","32,687",2015,Benefits
Florida,"5,382,979","4,111,836","343,609","666,606","2,200,784",2015,Benefits
Georgia,"2,072,624","1,478,259","138,278","334,156","766,565",2015,Benefits
Hawaii,"320,859","259,519","18,460","27,257","131,722",2015,Benefits
Idaho,"380,772","283,991","25,062","50,186","159,816",2015,Benefits
Illinois,"2,758,249","2,047,563","207,937","342,974","1,099,295",2015,Benefits
Indiana,"1,662,631","1,200,487","122,519","245,075","634,947",2015,Benefits
Iowa,"775,036","590,753","57,961","86,768","317,396",2015,Benefits
Kansas,"669,240","499,868","47,664","85,235","267,721",2015,Benefits
Kentucky,"1,104,955","706,247","90,307","234,896","395,531",2015,Benefits
Louisiana,"970,667","612,707","100,849","176,716","368,364",2015,Benefits
Maine,"378,015","269,151","24,700","63,607","148,991",2015,Benefits
Maryland,"1,239,738","933,923","78,664","158,228","478,734",2015,Benefits
Massachusetts,"1,550,369","1,126,523","95,118","238,987","607,725",2015,Benefits
Michigan,"2,787,250","1,997,058","201,575","424,890","1,063,127",2015,Benefits
Minnesota,"1,255,533","966,385","79,692","146,266","517,420",2015,Benefits
Mississippi,"730,844","482,872","53,142","145,865","253,654",2015,Benefits
Missouri,"1,518,403","1,076,287","106,942","250,727","578,480",2015,Benefits
Montana,"257,376","194,984","18,103","30,624","109,883",2015,Benefits
Nebraska,"407,988","309,921","29,718","46,351","167,348",2015,Benefits
Nevada,"613,347","467,673","35,893","80,046","259,417",2015,Benefits
New Hampshire,"374,386","276,899","20,306","57,652","150,820",2015,Benefits
New Jersey,"2,176,808","1,662,280","137,943","259,451","851,295",2015,Benefits
New Mexico,"469,318","336,627","31,792","72,146","185,116",2015,Benefits
New York,"4,498,413","3,341,923","289,049","611,369","1,708,855",2015,Benefits
North Carolina,"2,448,986","1,797,143","144,592","385,051","912,493",2015,Benefits
North Dakota,"148,605","111,603","13,340","15,122","63,473",2015,Benefits
Ohio,"2,776,912","1,963,126","243,136","401,612","1,102,069",2015,Benefits
Oklahoma,"899,398","632,229","69,856","143,033","341,479",2015,Benefits
Oregon,"1,025,635","779,444","67,218","127,771","420,837",2015,Benefits
Pennsylvania,"3,498,489","2,567,583","265,361","476,311","1,359,238",2015,Benefits
Rhode Island,"272,007","200,563","15,658","42,659","103,698",2015,Benefits
South Carolina,"1,319,979","958,245","81,114","211,648","502,844",2015,Benefits
South Dakota,"198,746","153,447","14,512","20,828","85,818",2015,Benefits
Tennessee,"1,676,300","1,177,825","116,692","285,215","625,462",2015,Benefits
Texas,"4,661,488","3,302,216","382,058","652,213","1,879,943",2015,Benefits
Utah,"468,330","346,789","30,664","55,774","198,679",2015,Benefits
Vermont,"175,425","130,639","10,735","24,737","70,904",2015,Benefits
Virginia,"1,817,456","1,344,211","120,367","250,042","710,604",2015,Benefits
Washington,"1,630,544","1,225,227","104,196","212,524","670,734",2015,Benefits
West Virginia,"554,556","352,616","53,408","108,545","205,474",2015,Benefits
Wisconsin,"1,492,247","1,134,369","97,132","187,398","600,240",2015,Benefits
Wyoming,"130,787","99,403","8,929","15,378","56,443",2015,Benefits
Alabama,"1,120,486","669,776","81,760","230,951","312,242",2016,Beneficiaries
Alaska,"95,500","65,342","5,375","12,532","33,990",2016,Beneficiaries
Arizona,"1,274,815","916,047","77,298","154,824","441,360",2016,Beneficiaries
Arkansas,"685,361","418,853","46,581","138,619","197,264",2016,Beneficiaries
California,"5,754,771","4,049,771","372,180","682,668","1,994,059",2016,Beneficiaries
Colorado,"830,604","590,238","51,509","104,206","290,680",2016,Beneficiaries
Connecticut,"664,688","481,923","38,266","81,330","225,117",2016,Beneficiaries
Delaware,"201,748","144,280","11,809","27,481","66,659",2016,Beneficiaries
District of Columbia,"81,274","54,638","4,411","14,451","24,559",2016,Beneficiaries
Florida,"4,431,473","3,181,656","270,971","562,750","1,516,272",2016,Beneficiaries
Georgia,"1,751,227","1,157,084","114,674","284,601","523,174",2016,Beneficiaries
Hawaii,"261,513","200,592","14,997","22,275","94,154",2016,Beneficiaries
Idaho,"325,247","226,694","19,642","44,174","111,317",2016,Beneficiaries
Illinois,"2,196,032","1,522,000","154,134","284,951","720,937",2016,Beneficiaries
Indiana,"1,318,046","875,768","91,083","207,660","404,766",2016,Beneficiaries
Iowa,"630,014","448,784","43,608","77,750","211,389",2016,Beneficiaries
Kansas,"535,673","370,764","35,357","73,768","174,782",2016,Beneficiaries
Kentucky,"972,352","566,353","77,540","203,471","278,547",2016,Beneficiaries
Louisiana,"882,185","506,448","86,482","156,737","261,194",2016,Beneficiaries
Maine,"334,291","221,235","20,337","57,979","108,050",2016,Beneficiaries
Maryland,"966,632","681,024","58,923","130,269","313,843",2016,Beneficiaries
Massachusetts,"1,246,936","837,720","71,304","202,428","401,340",2016,Beneficiaries
Michigan,"2,162,113","1,425,674","147,017","346,000","669,176",2016,Beneficiaries
Minnesota,"994,806","716,577","59,070","124,537","339,993",2016,Beneficiaries
Mississippi,"653,352","393,012","47,643","128,746","181,080",2016,Beneficiaries
Missouri,"1,269,508","832,355","84,641","217,590","391,343",2016,Beneficiaries
Montana,"223,401","159,645","14,390","27,567","79,382",2016,Beneficiaries
Nebraska,"335,361","237,200","22,726","41,726","112,397",2016,Beneficiaries
Nevada,"506,324","366,270","28,369","65,717","181,458",2016,Beneficiaries
New Hampshire,"294,322","200,675","15,017","48,091","96,163",2016,Beneficiaries
New Jersey,"1,597,052","1,137,556","97,678","199,405","522,530",2016,Beneficiaries
New Mexico,"416,674","275,576","27,216","64,822","135,260",2016,Beneficiaries
New York,"3,546,954","2,436,860","218,891","502,062","1,132,780",2016,Beneficiaries
North Carolina,"2,020,386","1,382,757","119,033","325,037","618,901",2016,Beneficiaries
North Dakota,"127,962","90,200","10,702","13,926","44,949",2016,Beneficiaries
Ohio,"2,311,984","1,508,888","187,078","354,548","737,402",2016,Beneficiaries
Oklahoma,"768,889","497,084","57,115","126,364","236,675",2016,Beneficiaries
Oregon,"836,215","599,645","51,030","108,974","287,194",2016,Beneficiaries
Pennsylvania,"2,768,956","1,883,880","197,421","404,049","880,677",2016,Beneficiaries
Rhode Island,"220,420","149,847","11,893","37,393","68,667",2016,Beneficiaries
South Carolina,"1,089,728","737,196","67,764","176,723","337,301",2016,Beneficiaries
South Dakota,"171,594","124,445","11,833","19,081","61,168",2016,Beneficiaries
Tennessee,"1,412,299","910,021","96,778","249,055","424,310",2016,Beneficiaries
Texas,"4,024,516","2,618,163","316,703","564,733","1,307,993",2016,Beneficiaries
Utah,"385,942","263,496","23,279","47,560","130,282",2016,Beneficiaries
Vermont,"144,889","99,547","8,264","22,325","48,404",2016,Beneficiaries
Virginia,"1,471,294","1,010,928","95,587","211,614","472,269",2016,Beneficiaries
Washington,"1,291,198","904,793","77,404","178,805","439,559",2016,Beneficiaries
West Virginia,"470,240","272,938","43,086","89,508","140,620",2016,Beneficiaries
Wisconsin,"1,189,455","845,036","71,700","160,929","394,280",2016,Beneficiaries
Wyoming,"106,720","76,221","6,799","13,323","37,723",2016,Beneficiaries
Alabama,"1,341,514","895,762","96,454","265,556","478,322",2016,Benefits
Alaska,"113,938","84,896","6,522","14,494","49,825",2016,Benefits
Arizona,"1,643,717","1,271,120","100,390","188,194","689,015",2016,Benefits
Arkansas,"795,729","541,541","53,606","154,593","288,785",2016,Benefits
California,"7,126,458","5,407,482","468,115","821,386","2,946,555",2016,Benefits
Colorado,"1,052,599","801,823","66,854","123,957","450,006",2016,Benefits
Connecticut,"922,735","721,790","54,336","99,276","381,401",2016,Benefits
Delaware,"274,916","211,562","16,155","34,304","110,191",2016,Benefits
District of Columbia,"95,379","70,358","4,947","14,911","34,006",2016,Benefits
Florida,"5,584,296","4,303,891","346,355","667,494","2,302,081",2016,Benefits
Georgia,"2,147,409","1,551,035","139,081","333,989","803,246",2016,Benefits
Hawaii,"331,474","270,160","18,590","26,705","137,785",2016,Benefits
Idaho,"398,558","300,665","25,287","50,541","169,189",2016,Benefits
Illinois,"2,823,703","2,117,272","205,381","339,661","1,138,528",2016,Benefits
Indiana,"1,706,346","1,244,523","122,093","244,460","659,805",2016,Benefits
Iowa,"795,782","611,843","57,107","86,603","329,537",2016,Benefits
Kansas,"689,743","520,552","47,099","84,656","279,500",2016,Benefits
Kentucky,"1,132,277","735,602","90,041","233,011","412,300",2016,Benefits
Louisiana,"1,001,883","644,104","100,713","176,662","386,004",2016,Benefits
Maine,"389,823","280,924","24,575","63,461","155,701",2016,Benefits
Maryland,"1,281,271","974,584","78,079","158,288","499,689",2016,Benefits
Massachusetts,"1,590,928","1,167,999","93,668","237,766","631,435",2016,Benefits
Michigan,"2,850,592","2,067,238","200,289","419,447","1,102,787",2016,Benefits
Minnesota,"1,296,913","1,008,266","78,979","144,677","541,299",2016,Benefits
Mississippi,"749,026","503,133","53,345","143,843","263,951",2016,Benefits
Missouri,"1,554,999","1,116,181","106,163","248,216","600,234",2016,Benefits
Montana,"268,148","205,565","18,138","30,433","115,616",2016,Benefits
Nebraska,"420,808","322,575","29,509","46,045","174,142",2016,Benefits
Nevada,"638,063","490,349","36,398","80,961","271,520",2016,Benefits
New Hampshire,"388,252","289,896","20,442","57,832","158,128",2016,Benefits
New Jersey,"2,225,451","1,712,466","136,441","257,094","878,269",2016,Benefits
New Mexico,"485,568","352,606","31,808","71,972","193,275",2016,Benefits
New York,"4,599,203","3,448,429","286,805","604,348","1,765,392",2016,Benefits
North Carolina,"2,530,940","1,881,196","145,342","380,285","956,826",2016,Benefits
North Dakota,"154,076","117,006","13,207","15,250","66,553",2016,Benefits
Ohio,"2,839,739","2,029,503","240,148","400,858","1,140,746",2016,Benefits
Oklahoma,"925,736","658,661","69,957","142,341","355,142",2016,Benefits
Oregon,"1,063,195","816,088","67,336","127,301","441,684",2016,Benefits
Pennsylvania,"3,581,701","2,654,759","261,327","474,586","1,408,357",2016,Benefits
Rhode Island,"279,187","207,401","15,526","42,845","107,486",2016,Benefits
South Carolina,"1,372,112","1,010,548","81,868","210,166","530,073",2016,Benefits
South Dakota,"205,702","160,401","14,296","20,793","89,865",2016,Benefits
Tennessee,"1,726,649","1,228,295","116,711","284,138","652,037",2016,Benefits
Texas,"4,854,798","3,486,487","385,196","650,687","1,980,366",2016,Benefits
Utah,"489,367","365,815","31,293","55,605","210,054",2016,Benefits
Vermont,"181,120","136,436","10,583","24,597","73,854",2016,Benefits
Virginia,"1,885,766","1,410,412","120,655","250,066","745,200",2016,Benefits
Washington,"1,696,167","1,287,638","104,637","212,513","704,539",2016,Benefits
West Virginia,"565,260","366,645","52,586","105,927","213,653",2016,Benefits
Wisconsin,"1,538,938","1,181,208","96,197","187,195","627,236",2016,Benefits
Wyoming,"137,056","105,119","9,073","15,585","59,750",2016,Benefits
Alabama,"1,131,359","689,297","80,509","226,922","321,578",2017,Beneficiaries
Alaska,"98,359","68,478","5,400","12,317","35,743",2017,Beneficiaries
Arizona,"1,310,666","952,601","77,435","153,257","459,483",2017,Beneficiaries
Arkansas,"692,178","429,232","45,993","137,228","202,194",2017,Beneficiaries
California,"5,858,780","4,178,940","368,871","663,886","2,062,229",2017,Beneficiaries
Colorado,"852,635","614,191","51,119","102,531","303,846",2017,Beneficiaries
Connecticut,"673,359","491,627","37,659","81,260","230,542",2017,Beneficiaries
Delaware,"206,939","149,880","11,760","27,255","69,251",2017,Beneficiaries
District of Columbia,"82,253","55,991","4,316","14,284","25,252",2017,Beneficiaries
Florida,"4,531,636","3,285,889","270,505","558,750","1,568,151",2017,Beneficiaries
Georgia,"1,790,398","1,198,814","114,324","282,646","543,488",2017,Beneficiaries
Hawaii,"266,523","206,148","14,924","21,813","97,235",2017,Beneficiaries
Idaho,"335,551","236,546","19,624","44,432","116,481",2017,Beneficiaries
Illinois,"2,220,171","1,554,889","150,740","282,120","739,115",2017,Beneficiaries
Indiana,"1,335,288","898,109","89,739","205,562","416,998",2017,Beneficiaries
Iowa,"638,322","459,104","42,529","77,521","217,144",2017,Beneficiaries
Kansas,"544,486","380,624","34,869","73,174","180,091",2017,Beneficiaries
Kentucky,"980,991","582,792","76,625","199,178","286,554",2017,Beneficiaries
Louisiana,"895,826","523,785","85,355","156,107","269,542",2017,Beneficiaries
Maine,"338,770","227,434","19,983","57,062","111,460",2017,Beneficiaries
Maryland,"983,736","700,145","57,916","129,481","323,245",2017,Beneficiaries
Massachusetts,"1,260,786","857,073","69,828","199,966","412,405",2017,Beneficiaries
Michigan,"2,186,709","1,461,584","144,376","341,200","688,562",2017,Beneficiaries
Minnesota,"1,012,620","738,425","57,628","122,142","352,245",2017,Beneficiaries
Mississippi,"661,656","404,846","47,102","127,181","186,407",2017,Beneficiaries
Missouri,"1,281,534","852,684","83,159","213,655","401,387",2017,Beneficiaries
Montana,"228,685","165,558","14,219","27,274","82,707",2017,Beneficiaries
Nebraska,"340,251","243,248","22,195","41,249","115,552",2017,Beneficiaries
Nevada,"521,297","380,627","28,645","65,664","188,428",2017,Beneficiaries
New Hampshire,"300,267","206,986","14,973","47,738","99,563",2017,Beneficiaries
New Jersey,"1,613,096","1,159,770","95,826","196,663","535,002",2017,Beneficiaries
New Mexico,"427,426","286,641","27,091","64,863","140,595",2017,Beneficiaries
New York,"3,586,883","2,492,314","215,210","493,907","1,164,222",2017,Beneficiaries
North Carolina,"2,059,436","1,428,433","118,443","320,583","641,559",2017,Beneficiaries
North Dakota,"130,831","93,384","10,347","14,114","46,598",2017,Beneficiaries
Ohio,"2,337,114","1,545,251","183,442","351,027","757,148",2017,Beneficiaries
Oklahoma,"778,970","509,843","56,331","125,634","242,809",2017,Beneficiaries
Oregon,"853,498","619,159","50,331","107,703","298,294",2017,Beneficiaries
Pennsylvania,"2,795,950","1,922,759","192,678","400,818","903,291",2017,Beneficiaries
Rhode Island,"222,851","152,898","11,680","37,133","70,467",2017,Beneficiaries
South Carolina,"1,115,313","765,602","67,759","174,597","351,235",2017,Beneficiaries
South Dakota,"175,389","128,614","11,535","18,994","63,402",2017,Beneficiaries
Tennessee,"1,431,690","936,131","95,747","245,370","437,037",2017,Beneficiaries
Texas,"4,126,055","2,723,111","316,553","562,264","1,361,085",2017,Beneficiaries
Utah,"395,718","273,509","23,415","46,926","135,653",2017,Beneficiaries
Vermont,"147,683","102,755","8,092","22,203","50,143",2017,Beneficiaries
Virginia,"1,501,543","1,044,208","94,684","210,694","488,464",2017,Beneficiaries
Washington,"1,319,176","936,179","76,818","176,269","456,193",2017,Beneficiaries
West Virginia,"473,398","279,813","42,446","87,754","144,232",2017,Beneficiaries
Wisconsin,"1,212,439","869,996","70,345","160,916","407,812",2017,Beneficiaries
Wyoming,"109,624","79,169","6,775","13,320","39,372",2017,Beneficiaries
Alabama,"1,400,427","951,178","97,922","266,626","506,846",2017,Benefits
Alaska,"121,533","91,993","6,747","14,559","54,113",2017,Benefits
Arizona,"1,746,234","1,364,812","103,469","190,327","738,546",2017,Benefits
Arkansas,"830,219","572,567","54,442","156,501","304,390",2017,Benefits
California,"7,491,481","5,756,641","476,025","816,908","3,137,202",2017,Benefits
Colorado,"1,120,025","864,527","68,450","124,610","486,142",2017,Benefits
Connecticut,"965,243","760,385","54,965","101,344","402,348",2017,Benefits
Delaware,"292,089","227,384","16,569","34,821","117,915",2017,Benefits
District of Columbia,"100,521","75,195","4,996","15,076","36,398",2017,Benefits
Florida,"5,893,710","4,584,847","354,766","677,911","2,449,008",2017,Benefits
Georgia,"2,265,765","1,657,080","142,731","338,695","857,442",2017,Benefits
Hawaii,"349,396","286,915","19,098","26,803","146,684",2017,Benefits
Idaho,"425,395","324,297","26,011","52,022","182,312",2017,Benefits
Illinois,"2,945,046","2,230,232","206,359","343,445","1,200,516",2017,Benefits
Indiana,"1,783,599","1,315,383","123,842","246,952","698,617",2017,Benefits
Iowa,"833,681","646,782","57,276","88,405","348,536",2017,Benefits
Kansas,"724,781","552,283","47,728","85,804","296,830",2017,Benefits
Kentucky,"1,180,750","781,117","91,644","232,937","436,647",2017,Benefits
Louisiana,"1,051,210","687,058","102,531","179,597","410,128",2017,Benefits
Maine,"409,151","298,898","24,801","63,987","165,728",2017,Benefits
Maryland,"1,350,720","1,038,224","79,093","160,830","531,578",2017,Benefits
Massachusetts,"1,666,537","1,237,920","94,416","240,400","669,885",2017,Benefits
Michigan,"2,973,455","2,183,277","202,346","421,296","1,166,115",2017,Benefits
Minnesota,"1,367,867","1,076,049","79,352","144,845","578,507",2017,Benefits
Mississippi,"783,103","534,016","54,452","145,155","279,122",2017,Benefits
Missouri,"1,622,354","1,180,196","107,313","248,979","633,627",2017,Benefits
Montana,"284,093","220,407","18,459","30,826","124,173",2017,Benefits
Nebraska,"441,818","342,240","29,694","46,523","184,665",2017,Benefits
Nevada,"676,447","524,556","37,790","82,500","289,569",2017,Benefits
New Hampshire,"410,794","310,068","21,014","58,768","169,112",2017,Benefits
New Jersey,"2,320,979","1,801,850","137,699","259,204","925,248",2017,Benefits
New Mexico,"515,558","379,272","32,572","73,486","207,015",2017,Benefits
New York,"4,796,830","3,634,258","289,474","607,280","1,863,037",2017,Benefits
North Carolina,"2,667,042","2,006,817","149,332","383,059","1,021,568",2017,Benefits
North Dakota,"163,330","125,553","13,177","15,782","71,498",2017,Benefits
Ohio,"2,960,684","2,141,095","242,018","405,130","1,203,708",2017,Benefits
Oklahoma,"969,564","697,731","71,046","144,658","375,578",2017,Benefits
Oregon,"1,121,563","870,663","68,273","128,369","472,322",2017,Benefits
Pennsylvania,"3,736,283","2,797,604","262,381","481,170","1,486,416",2017,Benefits
Rhode Island,"291,888","218,741","15,719","43,613","113,601",2017,Benefits
South Carolina,"1,453,284","1,084,791","84,497","212,342","568,700",2017,Benefits
South Dakota,"217,929","171,864","14,408","21,084","96,132",2017,Benefits
Tennessee,"1,809,413","1,304,601","119,038","286,039","691,316",2017,Benefits
Texas,"5,147,432","3,744,490","396,141","662,909","2,124,470",2017,Benefits
Utah,"520,196","393,114","32,522","56,187","225,756",2017,Benefits
Vermont,"191,324","145,855","10,687","25,009","78,867",2017,Benefits
Virginia,"1,993,263","1,507,902","123,182","254,649","795,798",2017,Benefits
Washington,"1,794,759","1,378,527","106,970","214,471","753,918",2017,Benefits
West Virginia,"587,227","387,400","53,336","105,793","225,365",2017,Benefits
Wisconsin,"1,620,596","1,255,634","97,268","191,111","667,596",2017,Benefits
Wyoming,"145,818","112,941","9,335","15,983","64,410",2017,Benefits
Alabama,"1,143,125","709,443","79,195","222,986","331,111",2018,Beneficiaries
Alaska,"101,402","72,029","5,406","11,944","37,703",2018,Beneficiaries
Arizona,"1,349,458","992,575","77,555","151,124","479,249",2018,Beneficiaries
Arkansas,"696,936","439,558","45,068","134,780","207,267",2018,Beneficiaries
California,"5,962,804","4,310,091","365,206","641,737","2,130,002",2018,Beneficiaries
Colorado,"874,819","639,282","50,720","100,040","316,929",2018,Beneficiaries
Connecticut,"681,765","501,724","36,995","80,566","236,152",2018,Beneficiaries
Delaware,"213,246","156,161","11,760","27,075","72,182",2018,Beneficiaries
District of Columbia,"83,059","57,338","4,111","13,896","25,942",2018,Beneficiaries
Florida,"4,626,156","3,389,540","268,262","551,521","1,618,954",2018,Beneficiaries
Georgia,"1,830,266","1,242,203","113,444","280,549","564,650",2018,Beneficiaries
Hawaii,"271,236","211,813","14,700","21,165","100,397",2018,Beneficiaries
Idaho,"346,243","247,610","19,639","43,971","122,044",2018,Beneficiaries
Illinois,"2,243,286","1,590,343","147,032","276,442","758,920",2018,Beneficiaries
Indiana,"1,350,417","921,226","87,702","201,734","429,361",2018,Beneficiaries
Iowa,"647,462","470,664","41,244","77,006","223,436",2018,Beneficiaries
Kansas,"552,973","391,286","34,078","72,185","186,081",2018,Beneficiaries
Kentucky,"989,575","599,606","75,262","194,959","294,679",2018,Beneficiaries
Louisiana,"907,733","540,818","83,953","154,395","278,353",2018,Beneficiaries
Maine,"344,482","234,929","19,584","55,900","115,304",2018,Beneficiaries
Maryland,"1,001,230","720,910","56,935","126,920","333,393",2018,Beneficiaries
Massachusetts,"1,273,360","878,840","68,128","194,364","424,474",2018,Beneficiaries
Michigan,"2,209,084","1,498,279","141,374","334,642","707,505",2018,Beneficiaries
Minnesota,"1,032,697","761,515","55,988","120,283","364,829",2018,Beneficiaries
Mississippi,"668,877","416,530","46,457","124,851","192,128",2018,Beneficiaries
Missouri,"1,293,897","873,524","81,011","209,607","411,800",2018,Beneficiaries
Montana,"233,801","171,787","13,966","26,628","85,892",2018,Beneficiaries
Nebraska,"345,725","250,014","21,578","40,704","118,967",2018,Beneficiaries
Nevada,"536,855","396,557","28,647","64,745","195,940",2018,Beneficiaries
New Hampshire,"305,855","213,708","14,755","47,128","103,459",2018,Beneficiaries
New Jersey,"1,625,600","1,181,229","93,584","191,337","547,162",2018,Beneficiaries
New Mexico,"436,551","297,313","26,905","63,955","145,620",2018,Beneficiaries
New York,"3,627,340","2,548,783","210,805","486,264","1,195,283",2018,Beneficiaries
North Carolina,"2,098,741","1,476,848","117,221","314,113","664,166",2018,Beneficiaries
North Dakota,"133,773","96,657","10,025","14,095","48,271",2018,Beneficiaries
Ohio,"2,356,367","1,581,420","178,738","344,385","775,814",2018,Beneficiaries
Oklahoma,"789,288","522,769","55,553","124,606","249,272",2018,Beneficiaries
Oregon,"871,988","640,652","49,898","105,296","309,638",2018,Beneficiaries
Pennsylvania,"2,825,178","1,966,422","186,989","395,568","927,163",2018,Beneficiaries
Rhode Island,"225,493","156,598","11,363","36,471","72,517",2018,Beneficiaries
South Carolina,"1,143,297","796,032","67,236","172,718","365,559",2018,Beneficiaries
South Dakota,"178,999","133,040","11,119","18,842","65,686",2018,Beneficiaries
Tennessee,"1,452,552","964,035","94,255","241,307","450,843",2018,Beneficiaries
Texas,"4,224,159","2,832,567","315,194","553,435","1,416,111",2018,Beneficiaries
Utah,"406,568","284,754","23,392","46,048","141,771",2018,Beneficiaries
Vermont,"150,319","106,070","7,927","21,828","51,967",2018,Beneficiaries
Virginia,"1,530,417","1,078,144","93,516","207,901","505,288",2018,Beneficiaries
Washington,"1,346,820","970,010","75,871","171,397","473,835",2018,Beneficiaries
West Virginia,"475,744","285,909","41,500","86,060","147,519",2018,Beneficiaries
Wisconsin,"1,233,379","896,146","68,489","158,502","422,184",2018,Beneficiaries
Wyoming,"112,386","82,101","6,713","13,266","40,976",2018,Beneficiaries
Alabama,"1,474,866","1,018,179","100,145","270,057","541,360",2018,Benefits
Alaska,"131,038","100,891","7,059","14,564","59,379",2018,Benefits
Arizona,"1,874,030","1,480,379","107,488","193,709","799,155",2018,Benefits
Arkansas,"870,892","609,597","55,370","158,454","323,404",2018,Benefits
California,"7,934,876","6,174,047","487,806","813,757","3,361,794",2018,Benefits
Colorado,"1,202,184","940,652","70,628","125,381","528,738",2018,Benefits
Connecticut,"1,018,496","808,720","55,959","103,602","428,293",2018,Benefits
Delaware,"314,296","247,377","17,200","35,707","127,738",2018,Benefits
District of Columbia,"106,681","81,033","4,986","15,138","39,173",2018,Benefits
Florida,"6,265,243","4,920,603","364,760","691,402","2,623,225",2018,Benefits
Georgia,"2,410,603","1,784,725","147,095","346,570","922,975",2018,Benefits
Hawaii,"371,053","307,482","19,527","26,850","157,547",2018,Benefits
Idaho,"458,453","354,038","27,015","53,124","198,725",2018,Benefits
